"MEXI025RA" "MEXI028RA" "MEXI031RA" "MEXI032RA" "AZ506RA" "AZ511RA" "AZ512RA" "AZ549RA" "AZ556RA" "AZ557RA" "AZ559RA" "AZ560RA" "AZ561RA" "AZ562RA" "CA637RA" "CO511RA" "CO555RA" "CO556RA" "CO557RA" "CO558RA" "CO559RA" "CO560RA" "CO564RA" "CO565RA" "CO566RA" "CO567RA" "CO568RA" "CO569RA" "CO570RA" "CO571RA" "CO572RA" "CO579RA" "CO580RA" "CO581RA" "CO582RA" "CO583RA" "CO584RA" "CO585RA" "CO588RA" "CO589RA" "CO590RA" "CO591RA" "CO592RA" "CO593RA" "CO594RA" "CO595RA" "CO596RA" "CO597RA" "CO598RA" "CO599RA" "CO600RA" "CO601RA" "CO602RA" "CO603RA" "CO604RA" "CO605RA" "CO606RA" "CO607RA" "CO608RA" "CO609RA" "CO610RA" "CO611RA" "CO612RA" "CO613RA" "CO614RA" "CO615RA" "CO616RA" "CO617RA" "CO618RA" "CO619RA" "CO620RA" "CO621RA" "CO622RA" "CO623RA" "CO624RA" "CO625RA" "CO626RA" "CO627RA" "CO628RA" "CO629RA" "CO630RA" "CO631RA" "CO632RA" "CO633RA" "CO634RA" "CO635RA" "CO636RA" "CO637RA" "CO638RA" "CO639RA" "CO640RA" "CO641RA" "ID006RA" "ID009RA" "ID010RA" "ID011RA" "ID012RA" "ID015RA" "NE005RA" "NE007RA" "NE008RA" "NM547RA" "NM553RA" "NM560RA" "NM561RA" "NM562RA" "NM573RA" "NM574RA" "NM575RA" "NM576RA" "NM577RA" "NM578RA" "NM579RA" "NM580RA" "NM581RA" "NM582RA" "TX042RA" "TX046RA" "WY032RA" "WY037RA"
"1924" 1.315 1.205 1.222 1.131 0.815 1.044 0.831 0.916 1.146 0.928 0.717 1.011 1.149 0.95 0.861 0.918 1.467 1.099 1.558 1.848 1.44 1.274 1.104 0.447 1.52 0.976 1.032 0.963 1.079 0.875 0.967 1.559 1.025 1.038 1.061 1.153 0.906 0.892 1.153 1.319 1.107 1 1.328 1.75 1.4 1.17 1.038 0.809 1.347 0.96 1.154 1.285 1.239 1.187 1.254 1.011 1.086 1.009 1.143 1.074 1.162 1.174 1.214 1.103 1.187 0.948 0.873 1.211 1.251 1.103 1.156 1.085 1.038 1.021 0.751 1.241 1.051 1.01 1.107 1.348 0.805 0.946 2.432 0.922 0.931 1.03 1.478 1.4 1.086 1.522 1.649 1.437 0.484 0.895 1.012 0.938 0.99 0.882 1.093 0.976 1.679 1.172 1.219 0.723 1.301 1.205 1.243 1.484 1.485 0.758 1.051 0.848 0.922 1.021 0.992 1.163 1.286 0.938 0.932 1.022
"1925" 0.883 0.904 0.773 0.758 0.099 0.466 0.819 0.957 0.461 0.354 0.7 1.055 1.1 0.964 0.891 0.919 0.972 0.913 1.347 1.005 1.128 1.234 0.965 0.872 1.19 0.282 0.937 1.092 0.969 0.731 0.59 1.164 0.853 1.328 0.678 0.705 1.068 0.984 0.924 0.786 0.345 1.169 0.159 1.155 0.855 1.096 0.391 0.854 0.359 0.657 0.995 0.637 0.651 0.211 0.942 1.142 0.916 0.833 0.526 0.392 0.636 0.35 0.803 1.266 0.371 0.931 0.932 0.419 0.517 0.587 0.987 1.139 0.425 1.014 0.689 1.574 0.75 0.999 0.345 0.421 1.007 1.008 0.36 0.877 0.918 1.006 1.011 0.692 0.779 0.212 0.234 0.624 1.169 1.004 1.157 1.022 1.043 0.823 0.982 0.897 1.577 0.055 0.694 0.521 0.255 0.936 0.123 0.974 0.933 0.395 0.763 0.383 0.469 0.285 0.584 0.621 0.112 0.332 1.049 1.239
"1926" 1.354 1.419 1.197 1.082 0.665 1.099 0.971 1.099 1.093 1.083 0.888 1.066 1.232 1.012 0.839 0.902 1.006 1.043 1.36 1.062 1.398 0.806 1.326 1.348 1.32 0.693 1.281 1.058 0.935 0.587 0.972 1.09 0.996 1.404 1.249 1.2 1.012 1.409 1.159 1.291 1.253 1.335 1.69 1.605 0.683 0.928 1.191 1.503 1.181 1.09 1.276 1.285 1.377 1.215 1.538 1.164 1.329 1.308 1.439 1.378 1.368 1.264 1.174 1.904 1.052 1.018 0.811 1.195 1.181 1.45 1.131 1.508 1.231 1.096 0.567 1.122 1.11 0.78 1.189 1.244 1.245 1.08 1.521 0.809 0.955 0.953 1.146 1.311 0.838 1.405 1.251 1.621 1.133 0.961 1.009 0.952 1.013 0.949 0.559 1.249 1.562 0.955 0.858 1.097 1.051 0.675 1.576 1.397 1.331 1.19 1.447 1.196 1.388 1.224 1.292 1.033 1.587 1.476 0.987 0.764
"1927" 1.011 0.967 1.163 1.079 0.855 1.345 1.379 1.341 0.944 1.018 1.192 1.114 1.296 1.194 1.149 1.168 0.934 1.209 1.584 0.549 0.869 1.162 0.954 0.925 0.723 0.426 0.934 0.744 0.186 0.114 0.839 1.058 1.159 1.483 1.375 1.143 1.02 1.304 0.711 1.052 0.713 1.335 1.209 0.904 0.925 1.145 0.71 1.203 0.71 1.198 1.094 0.961 0.626 1.124 1.173 1.152 1.132 0.799 0.916 0.662 1.042 0.898 1.424 1.205 0.961 1.017 1.314 0.796 0.872 0.868 1.1 1.54 0.789 1.399 0.772 1.501 1.059 0.993 1.061 1.653 1.169 1.395 1.21 1.048 1.128 1.025 0.726 1.27 1.051 0.594 1.347 1.1 0.962 1.1 1.155 1.148 1.165 0.982 0.962 1.201 1.407 0.927 1.082 0.895 0.807 0.673 1.152 0.588 0.729 0.424 0.952 0.323 1.155 1.009 1.294 1.272 1.269 0.923 0.941 1.282
"1928" 1.354 1.295 0.827 1.03 0.475 0.789 0.75 1.076 1.071 0.701 1.003 0.938 1.194 1.065 1.015 1.171 1.253 1.21 1.525 1.514 1.339 0.942 1.348 1.089 1.78 0.932 1.363 1.058 0.891 0.809 0.932 1.339 1.154 1.397 0.881 1.02 1.132 1.569 1.142 1.2 1.101 1.397 1.278 1.713 1.233 1.06 1.145 1.442 1.347 1.416 0.903 1.113 1.193 1.36 1.53 1.199 1.305 1.358 1.356 1.139 1.137 0.991 0.993 2.056 1.123 0.984 1.034 1.098 0.972 1.029 1.45 1.015 1.161 1.718 1.035 1.249 0.937 1.236 1.3 1.178 1.359 1.106 1.4 1.064 1.098 1.187 1.105 0.736 0.96 0.974 1.151 1.481 0.796 0.72 0.994 0.822 1.068 1.163 1.04 0.995 1.626 1.193 1.04 0.793 0.885 0.716 0.855 1.42 1.216 1.229 1.171 1.356 0.955 0.881 0.846 0.879 0.931 1.06 1.497 1.326
"1929" 0.745 0.779 1.017 0.824 0.631 0.891 0.705 0.891 0.994 0.684 0.663 0.925 1.25 0.882 0.851 0.975 0.877 0.874 1.268 0.974 0.976 1.176 1.151 0.902 0.57 0.901 1.251 1.15 1.102 1.135 0.811 1.182 1.199 1.009 1.433 1.264 1.108 1.496 0.794 0.941 1.022 1.106 0.525 0.498 1.017 1.233 1.098 0.846 0.74 1.304 1.298 0.95 0.687 1.155 1.029 1.465 0.941 0.715 1.1 0.618 1.257 0.957 1.222 1.054 0.826 1.069 0.893 0.545 0.733 0.761 0.974 1.179 1.068 1.545 0.747 1.286 1.347 1.164 0.795 1.5 0.964 1.214 0.655 1.188 1.23 1.052 1.027 0.605 1.154 0.298 0.052 1.366 0.918 1.085 1.079 1.012 1.197 0.809 0.925 1.16 1.179 1.325 1.045 0.896 1.257 0.969 1.463 1.261 1.107 0.628 1.458 1.059 0.927 0.734 1.122 1.007 0.95 1.294 1.003 1.238
"1930" 1.055 1.219 0.962 1.206 0.943 1.08 1.139 1.341 1.221 1.234 1.538 0.919 1.186 0.904 0.969 1.047 1.162 1.094 1.029 1.435 0.676 0.95 1.045 0.714 0.787 0.983 1.137 0.918 0.89 0.837 1.021 1.129 1.429 1.46 1.294 1.065 1.145 0.628 0.351 1.43 0.784 1.059 1.186 0.962 1.177 0.615 0.985 1.395 0.618 1.698 1.295 1.106 0.941 1.059 1.454 1.357 0.93 0.981 1.232 1.24 1.179 0.936 1.103 0.828 1.103 0.653 0.716 0.789 0.774 1.322 1.599 0.92 0.876 1.726 1.04 1.027 1.268 1.375 1.352 1.402 1.003 1.067 1.511 1.064 0.987 0.893 1.133 1.214 0.857 0.972 0.706 1.025 0.97 0.977 0.87 0.944 1.148 1.073 1.221 1.294 1.342 0.821 0.919 0.851 0.773 0.801 0.954 1.161 1.359 0.934 1.326 1.054 1.027 1.756 1.272 1.29 1.071 1.094 1.127 0.98
"1931" 1.118 1.133 1.235 1.369 0.721 0.997 1.045 1.221 1.134 1.082 1.354 0.964 0.965 0.774 0.879 1.165 1.126 1.209 0.942 1.123 1.457 0.899 1.084 0.914 1.178 0.865 1.411 1.164 1.252 0.889 1.264 0.858 1.154 1.259 0.473 0.592 0.582 1.556 0.933 0.437 0.881 0.828 1.025 0.992 0.961 0.909 1.217 1.032 1.068 1.311 0.649 0.911 1.007 1.348 1.334 1.027 0.891 1.19 0.99 0.895 0.858 0.931 0.647 1.418 0.841 0.9 0.63 0.864 0.941 1.564 0.617 0.764 1.125 0.464 0.621 0.991 0.762 0.558 1.358 0.774 1.109 1.222 2.116 1.077 1.094 1.096 0.939 0.942 0.97 1.041 1.133 1.173 0.692 1.018 0.953 1.09 1.211 0.936 1.324 1.241 0.736 1.161 0.932 0.824 1.002 0.793 1.64 1.392 1.345 1.02 1.588 1.348 1.056 1.17 1.07 1.065 1.442 1.382 1.109 0.684
"1932" 1.056 1.11 0.808 1.312 0.901 1.242 1.186 1.155 1.564 1.245 1.181 0.887 0.995 0.77 1.074 1.061 0.927 0.813 1.006 0.883 1.36 1.018 0.857 0.799 0.424 0.471 1.316 1.219 1.09 1.225 0.813 1.022 0.934 0.966 1.567 1.416 1.031 1.122 0.812 1.055 0.822 0.61 0.282 0.869 1.172 1.03 0.838 0.592 0.629 1.256 1.281 0.771 0.775 0.691 1.004 1.384 0.855 0.711 0.405 0.881 1.35 0.829 1.534 0.985 0.33 1.158 1.247 0.43 0.859 0.994 1.046 1.278 0.861 1.246 1.136 1.324 1.498 0.908 0.583 1.602 0.947 1.138 0.639 1.009 1.135 1.031 1.033 1.234 1.043 0.301 0.039 0.736 1.001 0.891 0.952 0.901 0.934 0.711 1.221 1.091 0.826 1.086 1.025 0.89 1.109 1.035 1.259 1.101 1.135 1.01 1.393 1.227 1.433 1.545 1.409 1.723 1.042 1.068 0.785 0.865
"1933" 1.264 1.274 1.075 0.968 0.506 1.407 1.322 1.375 1.061 1.211 1.67 0.847 0.868 0.739 1.18 0.977 1.208 0.827 0.627 0.748 1.044 0.668 1.024 0.879 1.016 0.644 1.232 0.908 0.493 0.815 1.019 1.005 1.004 0.777 0.406 0.75 0.898 0.864 0.957 1.091 1.209 0.613 1.014 1.064 0.938 0.781 0.896 1.256 0.815 1.144 0.88 1.161 1.063 0.948 1.014 1.349 0.844 0.995 0.9 0.81 0.795 1.011 0.968 0.861 0.614 0.95 0.717 0.995 0.742 1.355 1.501 1.11 1.043 0.992 1.007 0.676 0.805 0.607 1.17 1.096 0.927 0.848 1.462 1.167 1.014 1.098 0.874 1.649 0.934 1.233 0.869 1.063 0.587 1.125 1.069 1.043 1.11 0.574 0.968 1.239 0.952 1.786 1.423 1.093 1.112 1.152 1.385 0.454 0.868 0.647 0.849 0.49 1.511 1.167 1.077 1.243 1.148 1.023 0.512 0.59
