x,y
1850,238.44296937882638
1851,211.88164556418786
1852,220.14685978478354
1853,195.4578474970943
1854,190.73067175165943
1855,144.20898396429482
1856,209.25186314343375
1857,195.12101231499298
1858,201.2435399927351
1859,195.74132135866333
1860,236.73135986813523
1861,229.1231055998268
1862,221.66047506323977
1863,209.8789169796428
1864,263.0970583147962
1865,239.57535630506115
1866,177.91124849906674
1867,196.2508508151256
1868,229.15812223813538
1869,204.29470018812546
1870,198.72207271235612
1871,191.28759542439525
1872,233.73497933212397
1873,249.00873469890718
1874,242.49892798546696
1875,240.39297463547308
1876,255.3036154357958
1877,236.38384040992133
1878,253.3659189331248
1879,219.43280163360245
1880,224.05187981818113
1881,239.30827471147722
1882,210.69699810355024
1883,305.8785340795434
1884,239.64705003841235
1885,247.08467777554392
1886,177.1302763047672
1887,157.531354000695
1888,188.88588377814682
1889,192.2268436532562
1890,204.22508250470827
1891,217.52457131546703
1892,179.48248673518327
1893,194.77771768657536
1894,225.40523924176358
1895,247.14345263487354
1896,189.64330541424184
1897,227.52042654116514
1898,167.02672876585962
1899,242.14607063305843
1900,222.20906211022495
1901,228.43206997102138
1902,216.76667091099995
1903,245.32799971330087
1904,234.18456209005583
1905,243.00036209585824
1906,214.5167269855912
1907,189.06650589636627
1908,157.40225654656535
1909,158.90109674777185
1910,172.75152920080973
1911,151.57531488105516
1912,170.33249553690476
1913,192.567831973459
1914,198.0542499793974
1915,187.64324531958536
1916,174.28429068393444
1917,167.7681868250351
1918,194.62533294930796
1919,169.7771988473496
1920,228.7850607232126
1921,217.79756142922753
1922,208.95562834599411
1923,231.496017707812
1924,228.13794611674297
1925,242.3501028700083
1926,215.69900351481016
1927,189.1785822348345
1928,233.78554120139836
1929,188.80298539167524
1930,179.0152078802097
1931,169.2060470799015
1932,215.206924084153
1933,182.74004802247538
1934,253.05689180272796
1935,235.53527938184317
1936,265.13151971705446
1937,242.59401291919812
1938,259.97758757046563
1939,259.8281768449713
1940,213.25104377157754
1941,248.4673261271091
1942,232.64405790727164
1943,222.1743395058877
1944,187.44999775149162
1945,215.2167754597867
1946,199.41811996609053
1947,248.39773607814934
1948,156.55045220183118
1949,209.30560436339474
1950,184.62515064368137
1951,241.31790352183583
1952,238.93659722364015
1953,202.87450424246833
1954,174.71259010761088
1955,177.9643193291787
1956,234.31056104876237
1957,213.48886718677772
1958,187.45960472299856
1959,187.0166196217752
1960,202.71830094267375
1961,195.18433890181964
1962,250.22487534563587
1963,179.86219017338306
1964,210.03180981520762
1965,224.47791260868
1966,238.33641463072013
1967,196.93593365718587
1968,205.12438849815106
1969,250.6604772899931
1970,172.01425441020524
1971,220.15666938011384
1972,259.6705230184461
1973,227.96946981345994
1974,225.58616144282297
1975,187.25191768215737
1976,186.196180845288
1977,213.16644466212173
1978,276.692718757128
1979,291.8432725302489
1980,261.30469317698504
1981,253.5322158981081
1982,264.2875471768359
1983,230.94326192884762
1984,153.673144603033
1985,180.365088508889
1986,152.99153390693021
1987,177.92481950182133
1988,138.78313629390226
1989,232.16532691801427
1990,219.5196808741529
1991,264.0864438659354
1992,245.0596325898813
1993,228.34197865141678
1994,209.67925462185846
1995,248.03188042891924
1996,227.7572395169762
1997,210.26145816622517
1998,166.57681111624282
1999,243.48450727274724
2e3,205.95024285078125
