x,y
MEXI025RA,0.517
MEXI028RA,0.587
MEXI031RA,0.64
MEXI032RA,0.71
AZ506RA,1.42
AZ511RA,0.787
AZ512RA,0.874
AZ549RA,1.082
AZ556RA,0.238
AZ557RA,0.694
AZ559RA,0.807
AZ560RA,0.947
AZ561RA,0.513
AZ562RA,0.558
CA637RA,1.046
CO511RA,0.853
CO555RA,0.435
CO556RA,0.574
CO557RA,0.477
CO558RA,0.144
CO559RA,0.024
CO560RA,0.378
CO564RA,0.375
CO565RA,0.57
CO566RA,0.103
CO567RA,0.609
CO568RA,0.771
CO569RA,1.215
CO570RA,0.452
CO571RA,0.768
CO572RA,0.611
CO579RA,0.504
CO580RA,0.899
CO581RA,0.965
CO582RA,0.85
CO583RA,0.232
CO584RA,0.384
CO585RA,0.681
CO588RA,0.344
CO589RA,0.459
CO590RA,0.008
CO591RA,0.936
CO592RA,0.064
CO593RA,0.446
CO594RA,0.239
CO595RA,0.947
CO596RA,0.377
CO597RA,0.192
CO598RA,0.221
CO599RA,0.739
CO600RA,0.701
CO601RA,0.277
CO602RA,0.767
CO603RA,0.334
CO604RA,0.285
CO605RA,0.332
CO606RA,0.305
CO607RA,0.174
CO608RA,0.241
CO609RA,0.797
CO610RA,1.141
CO611RA,0.16
CO612RA,0.516
CO613RA,0.474
CO614RA,0.219
CO615RA,0.797
CO616RA,0.677
CO617RA,0.586
CO618RA,0.825
CO619RA,0.495
CO620RA,0.524
CO621RA,0.76
CO622RA,0.309
CO623RA,0.215
CO624RA,0.273
CO625RA,0.673
CO626RA,0.987
CO627RA,0.627
CO628RA,0.474
CO629RA,0.882
CO630RA,0.64
CO631RA,0.407
CO632RA,0.062
CO633RA,1.02
CO634RA,0.971
CO635RA,0.928
CO636RA,1.263
CO637RA,0.688
CO638RA,1.042
CO639RA,0.397
CO640RA,0.593
CO641RA,0.564
ID006RA,0.729
ID009RA,1.181
ID010RA,1.181
ID011RA,1.125
ID012RA,0.931
ID015RA,1.089
NE005RA,1.041
NE007RA,0.952
NE008RA,1.024
NM547RA,0.065
NM553RA,0.573
NM560RA,0.801
NM561RA,0.505
NM562RA,0.737
NM573RA,0
NM574RA,0.596
NM575RA,0.576
NM576RA,0.906
NM577RA,0.638
NM578RA,0.903
NM579RA,0.209
NM580RA,0.345
NM581RA,1
NM582RA,1.063
TX042RA,0.282
TX046RA,0.394
WY032RA,0.785
WY037RA,1.154
