x,y
MEXI025RA,1.205
MEXI028RA,1.252
MEXI031RA,1.277
MEXI032RA,0.934
AZ506RA,1.615
AZ511RA,1.177
AZ512RA,1.139
AZ549RA,1.013
AZ556RA,1.009
AZ557RA,1.502
AZ559RA,1.204
AZ560RA,0.529
AZ561RA,0.584
AZ562RA,0.353
CA637RA,1.528
CO511RA,1.055
CO555RA,1.149
CO556RA,1.218
CO557RA,1.085
CO558RA,1.185
CO559RA,1.096
CO560RA,1.115
CO564RA,0.966
CO565RA,0.899
CO566RA,0.73
CO567RA,0.818
CO568RA,0.714
CO569RA,0.942
CO570RA,0.513
CO571RA,0.834
CO572RA,1.188
CO579RA,1.122
CO580RA,1.128
CO581RA,1.087
CO582RA,1.254
CO583RA,1.21
CO584RA,1.201
CO585RA,1.39
CO588RA,1.088
CO589RA,1.219
CO590RA,1.642
CO591RA,1.284
CO592RA,1.323
CO593RA,1.027
CO594RA,1.137
CO595RA,1.218
CO596RA,1.072
CO597RA,1.034
CO598RA,1.411
CO599RA,1.312
CO600RA,1.239
CO601RA,1.043
CO602RA,1.163
CO603RA,0.872
CO604RA,1.475
CO605RA,1.211
CO606RA,0.966
CO607RA,1.203
CO608RA,1.363
CO609RA,1.222
CO610RA,1.402
CO611RA,1.421
CO612RA,0.722
CO613RA,1.149
CO614RA,1.239
CO615RA,1.237
CO616RA,1.262
CO617RA,1.649
CO618RA,1.151
CO619RA,1.294
CO620RA,1.222
CO621RA,1.235
CO622RA,1.518
CO623RA,0.896
CO624RA,0.926
CO625RA,0.994
CO626RA,1.197
CO627RA,0.94
CO628RA,0.94
CO629RA,1.101
CO630RA,0.992
CO631RA,1.154
CO632RA,0.968
CO633RA,1.056
CO634RA,1.059
CO635RA,0.997
CO636RA,0.819
CO637RA,0.763
CO638RA,1.511
CO639RA,0.901
CO640RA,1.072
CO641RA,1.116
ID006RA,0.953
ID009RA,1.128
ID010RA,1.17
ID011RA,1.006
ID012RA,1.045
ID015RA,0.84
NE005RA,0.921
NE007RA,1.08
NE008RA,1.32
NM547RA,1.639
NM553RA,1.224
NM560RA,0.948
NM561RA,0.921
NM562RA,1.133
NM573RA,2.567
NM574RA,0.625
NM575RA,0.887
NM576RA,0.848
NM577RA,1.201
NM578RA,0.733
NM579RA,1.09
NM580RA,1.353
NM581RA,1.376
NM582RA,1.145
TX042RA,1.353
TX046RA,1.452
WY032RA,1.028
WY037RA,0.996
