x,y
MEXI025RA,0.646
MEXI028RA,0.482
MEXI031RA,0.367
MEXI032RA,0.657
AZ506RA,1.182
AZ511RA,1.16
AZ512RA,1.182
AZ549RA,1.19
AZ556RA,0.56
AZ557RA,0.889
AZ559RA,1.23
AZ560RA,0.597
AZ561RA,0.728
AZ562RA,0.392
CA637RA,1.518
CO511RA,1.104
CO555RA,0.728
CO556RA,0.734
CO557RA,0.503
CO558RA,0.523
CO559RA,0.637
CO560RA,0.957
CO564RA,0.921
CO565RA,1.004
CO566RA,1.359
CO567RA,0.633
CO568RA,0.9
CO569RA,0.677
CO570RA,0.899
CO571RA,1.157
CO572RA,0.937
CO579RA,1.053
CO580RA,1.15
CO581RA,1.242
CO582RA,1.58
CO583RA,1.466
CO584RA,1.791
CO585RA,1.138
CO588RA,0.916
CO589RA,1.066
CO590RA,0.812
CO591RA,1.081
CO592RA,0.779
CO593RA,0.766
CO594RA,0.756
CO595RA,1.25
CO596RA,0.857
CO597RA,1.064
CO598RA,1.01
CO599RA,0.967
CO600RA,1.051
CO601RA,0.907
CO602RA,1.131
CO603RA,0.652
CO604RA,1.281
CO605RA,1.005
CO606RA,0.981
CO607RA,0.707
CO608RA,0.62
CO609RA,1.08
CO610RA,0.988
CO611RA,0.804
CO612RA,1.248
CO613RA,0.979
CO614RA,1.206
CO615RA,1.409
CO616RA,1.275
CO617RA,1.035
CO618RA,1.048
CO619RA,0.98
CO620RA,0.895
CO621RA,1.214
CO622RA,0.93
CO623RA,0.918
CO624RA,0.987
CO625RA,0.568
CO626RA,0.754
CO627RA,1.052
CO628RA,0.805
CO629RA,1.135
CO630RA,0.964
CO631RA,1.277
CO632RA,1.16
CO633RA,0.931
CO634RA,1.198
CO635RA,1.055
CO636RA,0.716
CO637RA,0.878
CO638RA,0.992
CO639RA,1.027
CO640RA,1.33
CO641RA,0.531
ID006RA,0.659
ID009RA,0.976
ID010RA,1.057
ID011RA,1.025
ID012RA,0.986
ID015RA,1.022
NE005RA,1.25
NE007RA,0.692
NE008RA,0.889
NM547RA,0.407
NM553RA,1.431
NM560RA,0.927
NM561RA,1.87
NM562RA,1.293
NM573RA,1.346
NM574RA,0.931
NM575RA,0.95
NM576RA,0.999
NM577RA,1.261
NM578RA,1.01
NM579RA,1.151
NM580RA,1.384
NM581RA,1.363
NM582RA,1.199
TX042RA,1.495
TX046RA,0.898
WY032RA,1.07
WY037RA,1.293
