x,y
MEXI025RA,1.354
MEXI028RA,1.419
MEXI031RA,1.197
MEXI032RA,1.082
AZ506RA,0.665
AZ511RA,1.099
AZ512RA,0.971
AZ549RA,1.099
AZ556RA,1.093
AZ557RA,1.083
AZ559RA,0.888
AZ560RA,1.066
AZ561RA,1.232
AZ562RA,1.012
CA637RA,0.839
CO511RA,0.902
CO555RA,1.006
CO556RA,1.043
CO557RA,1.36
CO558RA,1.062
CO559RA,1.398
CO560RA,0.806
CO564RA,1.326
CO565RA,1.348
CO566RA,1.32
CO567RA,0.693
CO568RA,1.281
CO569RA,1.058
CO570RA,0.935
CO571RA,0.587
CO572RA,0.972
CO579RA,1.09
CO580RA,0.996
CO581RA,1.404
CO582RA,1.249
CO583RA,1.2
CO584RA,1.012
CO585RA,1.409
CO588RA,1.159
CO589RA,1.291
CO590RA,1.253
CO591RA,1.335
CO592RA,1.69
CO593RA,1.605
CO594RA,0.683
CO595RA,0.928
CO596RA,1.191
CO597RA,1.503
CO598RA,1.181
CO599RA,1.09
CO600RA,1.276
CO601RA,1.285
CO602RA,1.377
CO603RA,1.215
CO604RA,1.538
CO605RA,1.164
CO606RA,1.329
CO607RA,1.308
CO608RA,1.439
CO609RA,1.378
CO610RA,1.368
CO611RA,1.264
CO612RA,1.174
CO613RA,1.904
CO614RA,1.052
CO615RA,1.018
CO616RA,0.811
CO617RA,1.195
CO618RA,1.181
CO619RA,1.45
CO620RA,1.131
CO621RA,1.508
CO622RA,1.231
CO623RA,1.096
CO624RA,0.567
CO625RA,1.122
CO626RA,1.11
CO627RA,0.78
CO628RA,1.189
CO629RA,1.244
CO630RA,1.245
CO631RA,1.08
CO632RA,1.521
CO633RA,0.809
CO634RA,0.955
CO635RA,0.953
CO636RA,1.146
CO637RA,1.311
CO638RA,0.838
CO639RA,1.405
CO640RA,1.251
CO641RA,1.621
ID006RA,1.133
ID009RA,0.961
ID010RA,1.009
ID011RA,0.952
ID012RA,1.013
ID015RA,0.949
NE005RA,0.559
NE007RA,1.249
NE008RA,1.562
NM547RA,0.955
NM553RA,0.858
NM560RA,1.097
NM561RA,1.051
NM562RA,0.675
NM573RA,1.576
NM574RA,1.397
NM575RA,1.331
NM576RA,1.19
NM577RA,1.447
NM578RA,1.196
NM579RA,1.388
NM580RA,1.224
NM581RA,1.292
NM582RA,1.033
TX042RA,1.587
TX046RA,1.476
WY032RA,0.987
WY037RA,0.764
