x,y
MEXI025RA,0.782
MEXI028RA,0.827
MEXI031RA,0.981
MEXI032RA,0.838
AZ506RA,0.584
AZ511RA,0.919
AZ512RA,1.151
AZ549RA,0.768
AZ556RA,0.383
AZ557RA,0.681
AZ559RA,0.664
AZ560RA,1.08
AZ561RA,0.921
AZ562RA,0.862
CA637RA,1.213
CO511RA,0.85
CO555RA,0.878
CO556RA,1.055
CO557RA,0.956
CO558RA,0.381
CO559RA,0.922
CO560RA,1.015
CO564RA,1.011
CO565RA,0.966
CO566RA,1.591
CO567RA,1.207
CO568RA,1.039
CO569RA,0.939
CO570RA,1.219
CO571RA,1.389
CO572RA,1.114
CO579RA,0.944
CO580RA,1.299
CO581RA,1.315
CO582RA,0.839
CO583RA,1.024
CO584RA,0.839
CO585RA,1.053
CO588RA,0.484
CO589RA,0.888
CO590RA,1.402
CO591RA,1.105
CO592RA,1.46
CO593RA,0.905
CO594RA,1.44
CO595RA,1.05
CO596RA,0.902
CO597RA,1.178
CO598RA,1.551
CO599RA,0.842
CO600RA,1.526
CO601RA,0.741
CO602RA,0.82
CO603RA,1.412
CO604RA,1.316
CO605RA,1.407
CO606RA,1.171
CO607RA,1.171
CO608RA,1.205
CO609RA,0.724
CO610RA,1.094
CO611RA,0.904
CO612RA,1.163
CO613RA,0.602
CO614RA,1.088
CO615RA,1.046
CO616RA,1.037
CO617RA,0.827
CO618RA,1.275
CO619RA,0.99
CO620RA,1.055
CO621RA,0.77
CO622RA,1.062
CO623RA,1.449
CO624RA,1.202
CO625RA,1.006
CO626RA,0.974
CO627RA,1.159
CO628RA,1.184
CO629RA,0.75
CO630RA,1.381
CO631RA,1.394
CO632RA,0.902
CO633RA,0.936
CO634RA,0.962
CO635RA,1.019
CO636RA,0.725
CO637RA,0.62
CO638RA,0.989
CO639RA,0.836
CO640RA,1.774
CO641RA,1.086
ID006RA,0.991
ID009RA,0.969
ID010RA,0.995
ID011RA,1
ID012RA,1.183
ID015RA,1.052
NE005RA,0.906
NE007RA,0.843
NE008RA,0.636
NM547RA,1.184
NM553RA,0.988
NM560RA,0.582
NM561RA,1.523
NM562RA,0.592
NM573RA,1.327
NM574RA,0.901
NM575RA,1.008
NM576RA,0.937
NM577RA,0.88
NM578RA,1.279
NM579RA,1.511
NM580RA,0.817
NM581RA,0.615
NM582RA,0.806
TX042RA,1.047
TX046RA,0.75
WY032RA,1.137
WY037RA,0.877
